month,item,duration,network_type,date
2014-11,call,25547.0,107,15/10/14 06:58
2014-11,data,998.441,29,15/10/14 06:58
2014-11,sms,94.0,94,16/10/14 22:18
2014-12,call,13561.0,79,14/11/14 17:24
2014-12,data,1032.8700000000001,30,13/11/14 06:58
2014-12,sms,48.0,48,14/11/14 17:28
2015-01,call,17070.0,88,15/12/14 20:03
2015-01,data,1067.299,31,13/12/14 06:58
2015-01,sms,86.0,86,15/12/14 19:56
2015-02,call,14416.0,67,15/01/15 10:36
2015-02,data,1067.299,31,13/01/15 06:58
2015-02,sms,39.0,39,15/01/15 12:23
2015-03,call,21727.0,47,12/02/15 20:15
2015-03,data,998.441,29,13/02/15 06:58
2015-03,sms,25.0,25,19/02/15 18:46
